name,state,state_code,type,population,website,total_schools,total_students,mailing_address,grade_span,locale,csa_cbsa,domain_name,physical_address,phone,status,student_teacher_ratio,supervisory_union,county,created_at,updated_at,id
San Joaquin County,California,CA,County,787416,https://www.sjgov.org,,,,,,,,,,,,,,2025-11-08 10:48:36.925354+00,2025-11-08 10:48:36.925357+00,27a6813f-9360-4b45-a6cd-0461e9e8eaa6
Lane County,Oregon,OR,County,382628,https://www.lanecounty.org,,,,,,,,,,,,,,2025-11-08 10:58:36.698484+00,2025-11-08 10:58:36.698487+00,28281cf1-341f-449a-a0a3-da640d205e44
City of Norwalk,California,CA,City,100713,https://www.norwalk.org,,,,,,,,,,,,,Los Angeles County,2025-11-08 10:49:05.025024+00,2025-11-08 10:49:05.025026+00,284244e0-5199-4e4c-8b61-6d65c4c332af
Tazewell County,Illinois,IL,County,130555,https://www.tazewell-il.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.627525+00,2025-11-08 10:51:14.627528+00,284292bf-a0c2-4de9-af9b-87c614bd1716
Berkeley County,West Virginia,WV,County,126165,https://www.berkeleywv.org,,,,,,,,,,,,,,2025-11-08 11:02:07.079457+00,2025-11-08 11:02:07.079459+00,288db01a-0e24-4e07-9bf5-d8171e692f12
Washington County,Pennsylvania,PA,County,209778,https://www.washingtoncopa.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.219573+00,2025-11-08 10:59:17.219576+00,28994ab5-6252-40e8-afc2-6554e2de8519
City of Arvada,Colorado,CO,City,122835,https://www.arvadaco.gov,,,,,,,,,,,,,Jefferson County,2025-11-08 10:49:05.042078+00,2025-11-08 10:49:05.042081+00,28bea978-ce5d-4294-b42a-15860a0650a6
City of Overland Park,Kansas,KS,City,197199,https://www.opkansas.org,,,,,,,,,,,,,Johnson County,2025-11-08 10:53:25.176769+00,2025-11-08 10:53:25.176772+00,28d175d1-77af-45b8-a1f8-cbf08e297e16
Whitfield County,Georgia,GA,County,103118,https://www.whitfieldcountyga.com,,,,,,,,,,,,,,2025-11-08 10:49:43.735864+00,2025-11-08 10:49:43.735867+00,29506b36-e3d4-4bd6-9181-8bf5333d8a7e
Schenectady County,New York,NY,County,159603,https://www.schenectadycountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.784673+00,2025-11-08 10:57:06.784675+00,2989e2bf-a1e0-4feb-90f7-c859d5f98261
Rockland County,New York,NY,County,338936,https://www.rocklandcountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.784817+00,2025-11-08 10:57:06.78482+00,29d4308b-4d51-4dce-94a3-01ce67482782
Hanover County,Virginia,VA,County,111652,https://www.hanovercounty.gov,,,,,,,,,,,,,,2025-11-08 11:02:07.065671+00,2025-11-08 11:02:07.065674+00,2a33ae6a-d49a-4445-a3bc-ff112f170ceb
City of Mesquite,Texas,TX,City,148848,https://www.cityofmesquite.com,,,,,,,,,,,,,Dallas County,2025-11-08 11:01:29.71289+00,2025-11-08 11:01:29.712892+00,2aa1855f-be0a-4f81-8aa5-f206604481b9
City of Surprise,Arizona,AZ,City,149519,https://surpriseaz.gov,,,,,,,,,,,,,Maricopa County,2025-11-08 10:48:29.679324+00,2025-11-08 10:48:29.679327+00,2aca7df2-cd31-4115-9d5f-534e6c971288
Lycoming County,Pennsylvania,PA,County,113570,https://www.lyco.org,,,,,,,,,,,,,,2025-11-08 10:59:17.219377+00,2025-11-08 10:59:17.21938+00,2b8a73ab-8020-4850-9e7d-990c2474db3a
Harford County,Maryland,MD,County,262509,https://www.harfordcountymd.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.234931+00,2025-11-08 10:53:46.234934+00,2bace42c-5949-4eac-8bc5-e39ef3f16f7c
Miami-Dade County,Florida,FL,County,2685296,https://www.miamidade.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.725811+00,2025-11-08 10:49:43.725814+00,2bd884ef-2a9e-45bc-b256-3baf3502fbed
Wayne County,Ohio,OH,County,116618,https://www.wayneohio.org/,,,,,,,,,,,,,,2025-11-08 10:58:14.228059+00,2025-11-08 10:58:14.228062+00,2bdd602f-22ae-496f-9c9d-efd5091cb6b7
City of Riverside,California,CA,City,316241,https://cityofriverside.us,,,,,,,,,,,,,Riverside County,2025-11-08 10:49:05.030773+00,2025-11-08 10:49:05.030776+00,2c13a421-66ef-48d5-b082-98a0f67fb459
Limestone County,Alabama,AL,County,107577,https://www.limestonecounty-al.gov,,,,,,,,,,,,,,2025-11-08 10:48:12.728708+00,2025-11-08 10:48:12.72871+00,2c3a8291-0f08-499e-b2aa-da8113155c05
Luzerne County,Pennsylvania,PA,County,325978,https://www.luzernecounty.org,,,,,,,,,,,,,,2025-11-08 10:59:17.219832+00,2025-11-08 10:59:17.219835+00,2c6cdb35-b1d2-40f7-9a5c-5d7d7c911bc0
Spotsylvania County,Virginia,VA,County,143876,https://www.spotsylvania.va.us/,,,,,,,,,,,,,,2025-11-08 11:02:07.065009+00,2025-11-08 11:02:07.065012+00,2ca73a56-c9b3-4cb1-a4ff-2da774a27e83
City of Hampton,Virginia,VA,City,137334,https://hampton.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.068719+00,2025-11-08 11:02:07.068721+00,2cc787c8-9650-49d6-9df1-c1e3427e18c0
City of Virginia Beach,Virginia,VA,City,457066,https://virginiabeach.gov,,,,,,,,,,,,,,2025-11-08 11:02:07.067675+00,2025-11-08 11:02:07.067678+00,2cf18069-c132-48d7-a9e6-6db20e239915
Chautauqua County,New York,NY,County,126329,https://chautauquacountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.785545+00,2025-11-08 10:57:06.785548+00,2d168d07-c5a3-4778-848f-6ef4d9f874b4
Muscogee County,Georgia,GA,County,204383,https://www.columbusga.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.736252+00,2025-11-08 10:49:43.736254+00,2d3e6f8c-f29a-4cea-9889-f85f943643f3
Stark County,Ohio,OH,County,373764,https://www.starkcountyohio.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.227376+00,2025-11-08 10:58:14.227379+00,2e167a25-85e7-4027-b63a-cacd1ea48f99
Cumberland County,Maine,ME,County,305940,https://www.cumberlandcountyme.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.233269+00,2025-11-08 10:53:46.233271+00,2e744d2d-591e-4e15-bf66-d837a758d64b
Ventura County,California,CA,County,838259,https://www.ventura.org,,,,,,,,,,,,,,2025-11-08 10:48:36.926269+00,2025-11-08 10:48:36.926272+00,2e92d372-cbf7-497d-a2ed-ad8a2a9140dd
Benton County,Arkansas,AR,County,294541,https://bentoncountyar.gov,,,,,,,,,,,,,,2025-11-08 10:48:29.687733+00,2025-11-08 10:48:29.687736+00,2f482b66-bd03-435e-82f8-530503e989e6
Henrico County,Virginia,VA,County,334434,https://henrico.gov,,,,,,,,,,,,,,2025-11-08 11:02:07.063948+00,2025-11-08 11:02:07.063951+00,2f58d945-1a15-453a-a6b3-923ce84170d1
City of Miami,Florida,FL,City,446663,https://www.miamigov.com,,,,,,,,,,,,,Miami-Dade County,2025-11-08 10:49:43.730835+00,2025-11-08 10:49:43.730838+00,2f707d74-8a08-4de1-a107-f9539cc9f4e4
Collier County,Florida,FL,County,387681,https://www.colliercountyfl.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.726675+00,2025-11-08 10:49:43.726678+00,2fac4163-0630-4241-8a31-42d2de4e4e5f
Scott County,Minnesota,MN,County,152957,https://www.scottcountymn.gov,,,,,,,,,,,,,,2025-11-08 10:54:23.271426+00,2025-11-08 10:54:23.271429+00,2fb117f3-3121-448b-84ce-9339367e9b62
Olmsted County,Minnesota,MN,County,163425,https://www.olmstedcounty.gov,,,,,,,,,,,,,,2025-11-08 10:54:23.271386+00,2025-11-08 10:54:23.271388+00,2ff9e27b-c470-4349-a7f5-82363e34181a
Prince George's County,Maryland,MD,County,955584,https://www.princegeorgescountymd.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.234585+00,2025-11-08 10:53:46.234587+00,303f265d-09bf-46dd-b45c-2e5c0188a6e4
City of Boulder,Colorado,CO,City,106274,https://bouldercolorado.gov,,,,,,,,,,,,,Boulder County,2025-11-08 10:49:05.041592+00,2025-11-08 10:49:05.041594+00,30a3caa0-11e9-4e62-8417-bd9a9305cedb
City of Long Beach,California,CA,City,458491,https://www.longbeach.gov,,,,,,,,,,,,,Los Angeles County,2025-11-08 10:49:05.031672+00,2025-11-08 10:49:05.031675+00,30aa3a64-e094-4c45-adbd-d5d6e853df0e
Brazos County,Texas,TX,County,237980,http://brazoscountytx.gov,,,,,,,,,,,,,,2025-11-08 11:00:48.739595+00,2025-11-08 11:00:48.739597+00,30f74da1-e9d9-4743-9465-4bde3c46e6a8
City of Aurora,Colorado,CO,City,390201,https://www.auroragov.org,,,,,,,,,,,,,Adams County,2025-11-08 10:49:05.042709+00,2025-11-08 10:49:05.042711+00,312aa033-d9f6-4973-9000-33ae025495d0
Dallas County,Texas,TX,County,2603816,https://www.dallascounty.org/,,,,,,,,,,,,,,2025-11-08 11:00:48.739675+00,2025-11-08 11:00:48.739678+00,316b26fd-83a1-480f-9c9c-d1e348ff684f
Santa Fe County,New Mexico,NM,County,155175,https://www.santafecountynm.gov,,,,,,,,,,,,,,2025-11-08 10:56:20.019191+00,2025-11-08 10:56:20.019194+00,317317b6-e2a5-4b55-94b7-9474fe71a2d5
Kenton County,Kentucky,KY,County,169817,https://www.kentoncounty.org,,,,,,,,,,,,,,2025-11-08 10:53:25.184104+00,2025-11-08 10:53:25.184106+00,32416c76-5453-40bc-bdbf-bb511a7dccdc
Camden County,New Jersey,NJ,County,524042,https://www.camdencounty.com,,,,,,,,,,,,,,2025-11-08 10:55:47.458095+00,2025-11-08 10:55:47.458097+00,32587c12-57a1-4a66-b506-cee0e4578138
City of Hillsboro,Oregon,OR,City,107050,https://www.hillsboro-oregon.gov,,,,,,,,,,,,,Washington County,2025-11-08 10:58:36.701973+00,2025-11-08 10:58:36.701976+00,325e4a12-cd17-4be6-b219-73f6e65cc98f
City of Irving,Texas,TX,City,255036,https://irvingtx.gov,,,,,,,,,,,,,Dallas County,2025-11-08 11:01:29.71599+00,2025-11-08 11:01:29.715993+00,32de2a9f-31dd-4d60-8f1f-4c71da4d893a
Adams County,Pennsylvania,PA,County,105183,https://www.adamscountypa.gov,,,,,,,,,,,,,,2025-11-08 10:59:17.220038+00,2025-11-08 10:59:17.220041+00,330f7f06-e293-453d-b992-75ac816c9ff7
Santa Cruz County,California,CA,County,266021,https://santacruzcountyca.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.925439+00,2025-11-08 10:48:36.925442+00,33751a0b-cd7c-4dbb-a2f9-651b90cd5d41
City of Renton,Washington,WA,City,105279,https://www.rentonwa.gov,,,,,,,,,,,,,King County,2025-11-08 11:02:07.076133+00,2025-11-08 11:02:07.076136+00,33903da5-5bec-48ad-825f-5f42348ad669
Hillsborough County,New Hampshire,NH,County,424732,https://hcnh.org/,,,,,,,,,,,,,,2025-11-08 10:55:47.441211+00,2025-11-08 10:55:47.441214+00,34077f53-7074-49e8-8dc2-7ade02054274
Richmond County,New York,NY,County,492734,https://www.statenislandusa.com/,,,,,,,,,,,,,,2025-11-08 10:57:06.785461+00,2025-11-08 10:57:06.785463+00,34aa11e1-3aba-4091-9b41-8a2d71fdefac
Alamance County,North Carolina,NC,County,174286,https://commissioners.alamancecountync.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.304398+00,2025-11-08 10:57:38.304401+00,34c11988-26c6-42f8-ba6a-b57b24ea2711
City of Thousand Oaks,California,CA,City,125676,https://www.toaks.org,,,,,,,,,,,,,Ventura County,2025-11-08 10:49:05.024501+00,2025-11-08 10:49:05.024503+00,350a8a6e-fef2-44c5-b6fd-496a89241068
City of Hialeah,Florida,FL,City,221901,https://www.hialeahfl.gov,,,,,,,,,,,,,Miami-Dade County,2025-11-08 10:49:43.731255+00,2025-11-08 10:49:43.731258+00,351d2512-beb5-4d53-bc65-1c19444d5a19
City of Menifee,California,CA,City,107020,https://www.cityofmenifee.us,,,,,,,,,,,,,Riverside County,2025-11-08 10:49:05.02446+00,2025-11-08 10:49:05.024462+00,3545d95f-01dc-4ede-958a-00c4600db0db
Iredell County,North Carolina,NC,County,191800,https://www.iredellcountync.gov/,,,,,,,,,,,,,,2025-11-08 10:57:38.305159+00,2025-11-08 10:57:38.305162+00,358a5dab-ef71-4e4b-b23f-518d53f4419f
Mobile County,Alabama,AL,County,413162,https://www.mobilecountyal.gov,,,,,,,,,,,,,,2025-11-08 10:48:12.72908+00,2025-11-08 10:48:12.729082+00,35bff39d-9b42-423b-ae33-002de2f91a41
Broward County,Florida,FL,County,1946127,https://www.broward.org/,,,,,,,,,,,,,,2025-11-08 10:49:43.726292+00,2025-11-08 10:49:43.726295+00,35e19777-cef7-4128-ad58-d6a65ed981c8
Carroll County,Maryland,MD,County,174318,https://www.carrollcountymd.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.234768+00,2025-11-08 10:53:46.234771+00,35e4f639-5dd1-4b40-82b7-b133642dac09
City of San Antonio,Texas,TX,City,1458954,https://www.sanantonio.gov,,,,,,,,,,,,,Bexar County,2025-11-08 11:00:48.744728+00,2025-11-08 11:00:48.744731+00,36402fde-055d-43b8-801b-9be885908fbf
Hamilton County,Indiana,IN,County,357176,https://hamiltoncounty.in.gov/,,,,,,,,,,,,,,2025-11-08 10:51:55.199842+00,2025-11-08 10:51:55.199845+00,364b98e5-a3ae-4f37-b2fb-bb3d7637e42a
Warren County,Kentucky,KY,County,137549,https://www.warrencountyky.gov/,,,,,,,,,,,,,,2025-11-08 10:53:25.181866+00,2025-11-08 10:53:25.181869+00,36804410-972b-4ddb-b0d1-80aaccbf6aa4
Frederick County,Maryland,MD,County,280341,http://frederickcountymd.gov,,,,,,,,,,,,,,2025-11-08 10:53:46.234871+00,2025-11-08 10:53:46.234874+00,36f11a54-3e6a-407b-bfe5-0faf509b6308
Saginaw County,Michigan,MI,County,189210,https://www.saginawcounty.com,,,,,,,,,,,,,,2025-11-08 10:54:03.48667+00,2025-11-08 10:54:03.486673+00,3754ef51-6303-46e4-86e6-4021364c5032
City of Norfolk,Virginia,VA,City,235037,https://www.norfolk.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.066489+00,2025-11-08 11:02:07.066492+00,3755a33b-2b9f-4b22-a62c-1d04dec948a0
Washington County,Maryland,MD,County,155033,https://www.washco-md.net,,,,,,,,,,,,,,2025-11-08 10:53:46.234891+00,2025-11-08 10:53:46.234894+00,37a43467-1ab3-456f-917c-a53b02cf1c79
Washington County,Minnesota,MN,County,272298,http://www.washingtoncountymn.gov,,,,,,,,,,,,,,2025-11-08 10:54:23.271406+00,2025-11-08 10:54:23.271409+00,37bd80f2-7b23-4ca9-b7f7-b8492605b634
Lucas County,Ohio,OH,County,428748,https://co.lucas.oh.us,,,,,,,,,,,,,,2025-11-08 10:58:14.228482+00,2025-11-08 10:58:14.228485+00,381cb517-c68e-4095-a256-1d3ac26d5b3f
Williamson County,Texas,TX,County,643889,https://www.wilcotx.gov/,,,,,,,,,,,,,,2025-11-08 11:00:48.740626+00,2025-11-08 11:00:48.740629+00,384e307a-afca-4cff-9f07-d0cbf8fa6e96
DeKalb County,Georgia,GA,County,762105,https://www.dekalbcountyga.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.73666+00,2025-11-08 10:49:43.736662+00,388f91f4-9261-46fe-b658-141ba513e2f5
Cleveland County,North Carolina,NC,County,100170,https://www.clevelandcounty.com,,,,,,,,,,,,,,2025-11-08 10:57:38.306336+00,2025-11-08 10:57:38.306338+00,38cb3acd-366d-40ad-b90d-473ad301f837
Tom Green County,Texas,TX,County,119398,https://www.tomgreencountytx.gov/,,,,,,,,,,,,,,2025-11-08 11:00:48.741474+00,2025-11-08 11:00:48.741476+00,3930faf4-0afa-47fb-9558-42455b097b20
Lake County,Ohio,OH,County,232101,https://www.lakecountyohio.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.227417+00,2025-11-08 10:58:14.227419+00,39f2cbdc-126e-493d-9424-a1e26e3a022d
Sumner County,Tennessee,TN,County,200553,https://sumnercountytn.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.982085+00,2025-11-08 11:00:02.982087+00,3a7e20da-febb-4b7b-b542-7267961dcd20
City of Midland,Texas,TX,City,133998,https://www.midlandtexas.gov,,,,,,,,,,,,,Midland County,2025-11-08 11:01:29.72004+00,2025-11-08 11:01:29.720043+00,3a873704-5f9c-406a-8490-b160b3e6a7d4
Doña Ana County,New Mexico,NM,County,221665,https://www.donaanacounty.org,,,,,,,,,,,,,,2025-11-08 10:56:20.019496+00,2025-11-08 10:56:20.019499+00,3ab6eb36-5342-4c50-acf0-ff405d0525bb
Kent County,Rhode Island,RI,County,170658,https://www.kentcountyri.com,,,,,,,,,,,,,,2025-11-08 11:00:02.964656+00,2025-11-08 11:00:02.964659+00,3b32896f-d2a0-43ed-a7d4-199835a7c472
Davidson County,Tennessee,TN,County,709846,https://www.nashville.gov,,,,,,,,,,,,,,2025-11-08 11:00:02.981375+00,2025-11-08 11:00:02.981378+00,3b41122e-62c6-4945-bbdb-ea268204bd4d
City of Murfreesboro,Tennessee,TN,City,157547,https://www.murfreesborotn.gov,,,,,,,,,,,,,Rutherford County,2025-11-08 11:00:16.954159+00,2025-11-08 11:00:16.954162+00,3b73bf7f-1753-4061-9ddb-0957e9ee0007
City of Elk Grove,California,CA,City,177221,https://elkgrove.gov,,,,,,,,,,,,,Sacramento County,2025-11-08 10:49:05.028363+00,2025-11-08 10:49:05.028366+00,3bbeef8f-4074-4321-8c59-2311cb4b6934
Anchorage Municipality,Alaska,AK,County,289069,https://www.muni.org,,,,,,,,,,,,,,2025-11-08 10:48:12.735805+00,2025-11-08 10:48:12.735808+00,3c548483-5c15-4e09-86b0-410279598372
Vigo County,Indiana,IN,County,106201,https://www.vigocounty.in.gov,,,,,,,,,,,,,,2025-11-08 10:51:55.199219+00,2025-11-08 10:51:55.199222+00,3c6ac50c-4d1a-491c-9770-26ca219b1de3
Rockwall County,Texas,TX,County,116931,https://www.rockwallcountytexas.com,,,,,,,,,,,,,,2025-11-08 11:00:48.740068+00,2025-11-08 11:00:48.74007+00,3cb840d1-8e32-4541-9866-0591b6f3306f
Placer County,California,CA,County,412435,https://www.placer.ca.gov/,,,,,,,,,,,,,,2025-11-08 10:48:36.926394+00,2025-11-08 10:48:36.926397+00,3cd7d1a2-3fb6-40f6-8d53-afe695d0375a
Highlands County,Florida,FL,County,103808,https://www.highlandsfl.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.725729+00,2025-11-08 10:49:43.725732+00,3cf2409f-58e2-4380-9d85-3a5d669aa851
City of Dallas,Texas,TX,City,1299553,https://dallascityhall.com,,,,,,,,,,,,,Dallas County,2025-11-08 11:01:29.717217+00,2025-11-08 11:01:29.717219+00,3d252686-98ff-4998-88c7-7fc4f44b7d3e
Monterey County,California,CA,County,435834,https://www.countyofmonterey.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.925333+00,2025-11-08 10:48:36.925336+00,3d30ad78-d017-4c43-b2df-a63b6f0b1ad9
Guilford County,North Carolina,NC,County,542987,https://www.guilfordcountync.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.306195+00,2025-11-08 10:57:38.306197+00,3dc0e62c-1eec-4711-97d1-8f5ea8cdb6e1
Pinellas County,Florida,FL,County,960565,https://pinellas.gov,,,,,,,,,,,,,,2025-11-08 10:49:43.725831+00,2025-11-08 10:49:43.725834+00,3dcff439-aac8-4173-9079-2402b7a3e057
Pasco County,Florida,FL,County,588758,https://www.pascocountyfl.net,,,,,,,,,,,,,,2025-11-08 10:49:43.725931+00,2025-11-08 10:49:43.725934+00,3e2da39a-3725-4f69-9cbc-367d3f3388d5
Kings County,California,CA,County,152830,https://www.countyofkingsca.gov,,,,,,,,,,,,,,2025-11-08 10:48:36.925849+00,2025-11-08 10:48:36.925852+00,3e3950bf-9174-42ed-a4bf-62c87ba9cb26
Kendall County,Illinois,IL,County,135053,https://www.kendallcountyil.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.626996+00,2025-11-08 10:51:14.626999+00,3eaa45b8-319c-49a0-92de-7c6b83542847
DeSoto County,Mississippi,MS,County,188598,https://desotocountyms.gov,,,,,,,,,,,,,,2025-11-08 10:54:35.098025+00,2025-11-08 10:54:35.098028+00,3f1d0a90-c0eb-4ec0-bb9d-36f422b6c602
Albany County,New York,NY,County,315374,https://www.albanycountyny.gov,,,,,,,,,,,,,,2025-11-08 10:57:06.785289+00,2025-11-08 10:57:06.785292+00,3f56bd0f-e469-408d-be69-6ef3b40c0ec8
Santa Barbara County,California,CA,County,443975,https://www.countyofsb.org/,,,,,,,,,,,,,,2025-11-08 10:48:36.926414+00,2025-11-08 10:48:36.926417+00,3f7d77da-02c2-48da-9b8d-4b5b01936264
Ramsey County,Minnesota,MN,County,544438,https://www.ramseycounty.us/,,,,,,,,,,,,,,2025-11-08 10:54:23.272509+00,2025-11-08 10:54:23.272511+00,3f9647fd-1bdd-428e-bc93-197ac18ae778
City of Garland,Texas,TX,City,245298,https://www.garlandtx.gov,,,,,,,,,,,,,Dallas County,2025-11-08 11:00:48.748143+00,2025-11-08 11:00:48.748145+00,3f9701d4-3985-40c2-b6fd-461a533de5d1
City of Lewisville,Texas,TX,City,128313,https://www.cityoflewisville.com,,,,,,,,,,,,,Denton County,2025-11-08 11:00:48.746903+00,2025-11-08 11:00:48.746905+00,3fb1f3b6-b589-4307-a44a-7eb5bdb89255
Western Connecticut Planning Region,Connecticut,CT,County,621232,https://westcog.org,,,,,,,,,,,,,,2025-11-08 10:49:43.719701+00,2025-11-08 10:49:43.719704+00,4047f96a-571c-4bc7-a5c5-dde27c816086
City of Spokane,Washington,WA,City,229228,https://my.spokanecity.org/,,,,,,,,,,,,,Spokane County,2025-11-08 11:02:07.074843+00,2025-11-08 11:02:07.074846+00,405d60e6-8e3a-4065-be5c-d5c50b73024b
Monmouth County,New Jersey,NJ,County,643615,https://www.visitmonmouth.com/,,,,,,,,,,,,,,2025-11-08 10:55:47.458281+00,2025-11-08 10:55:47.458284+00,4081de1e-96e1-489c-903b-af3bebe2705a
Hillsborough County,Florida,FL,County,1489634,https://hcfl.gov/,,,,,,,,,,,,,,2025-11-08 10:49:43.726373+00,2025-11-08 10:49:43.726375+00,40af69af-084b-4dc8-8270-4462a7f49d52
City of Austin,Texas,TX,City,967862,https://www.austintexas.gov,,,,,,,,,,,,,Travis County,2025-11-08 11:01:29.712037+00,2025-11-08 11:01:29.71205+00,40e1ccff-4a5c-4c95-859a-853eeac96573
South Central Connecticut Planning Region,Connecticut,CT,County,566803,https://scrcog.org,,,,,,,,,,,,,,2025-11-08 10:49:43.719765+00,2025-11-08 10:49:43.719767+00,40e3f528-92ab-445f-9b54-5ac83e65fa76
Skagit County,Washington,WA,County,130407,https://www.skagitcounty.net,,,,,,,,,,,,,,2025-11-08 11:02:07.07424+00,2025-11-08 11:02:07.074243+00,40ea4cb7-2b8f-48c6-809f-4004fcd01503
City of North Charleston,South Carolina,SC,City,117460,https://www.northcharleston.org/,,,,,,,,,,,,,Charleston County,2025-11-08 11:00:02.968654+00,2025-11-08 11:00:02.968656+00,417a1503-8726-41b4-b810-eba18d16b567
City of Denton,Texas,TX,City,146987,https://www.cityofdenton.com,,,,,,,,,,,,,Denton County,2025-11-08 11:00:48.742983+00,2025-11-08 11:00:48.742986+00,41eb7496-9aea-41e5-825e-7aaef0da994b
Rock Island County,Illinois,IL,County,142995,https://www.rockislandcountyil.gov,,,,,,,,,,,,,,2025-11-08 10:51:14.627403+00,2025-11-08 10:51:14.627406+00,41fdf771-4e78-4da1-971e-38d44541b7c5
Sedgwick County,Kansas,KS,County,524810,https://www.sedgwickcounty.org,,,,,,,,,,,,,,2025-11-08 10:52:36.691896+00,2025-11-08 10:52:36.691899+00,42b51056-d2e8-4fb5-a33d-42d0ce4203ab
McLennan County,Texas,TX,County,263608,https://www.mclennan.gov/,,,,,,,,,,,,,,2025-11-08 11:00:48.7425+00,2025-11-08 11:00:48.742503+00,42ccdb54-8e2f-4de6-aff2-c60918ad985f
Norfolk city,Virginia,VA,County,235037,https://www.norfolk.gov/,,,,,,,,,,,,,,2025-11-08 11:02:07.064231+00,2025-11-08 11:02:07.064234+00,43485bff-9f0d-4036-b9f6-d296403084e8
Gaston County,North Carolina,NC,County,231485,https://www.gastongov.com,,,,,,,,,,,,,,2025-11-08 10:57:38.305442+00,2025-11-08 10:57:38.305444+00,43cc65c2-a9de-443f-87c9-f75437839948
Rowan County,North Carolina,NC,County,148487,https://www.rowancountync.gov,,,,,,,,,,,,,,2025-11-08 10:57:38.305582+00,2025-11-08 10:57:38.305585+00,4455ee92-39a0-4732-bdd6-5a21b0d16ead
Gregg County,Texas,TX,County,124860,https://greggcounty.texas.gov/,,,,,,,,,,,,,,2025-11-08 11:00:48.741394+00,2025-11-08 11:00:48.741396+00,44814ce8-fd10-46a6-b3a7-aba6e750d939
City of Independence,Missouri,MO,City,121944,https://www.independencemo.gov,,,,,,,,,,,,,Jackson County,2025-11-08 10:55:17.069291+00,2025-11-08 10:55:17.069294+00,44937619-8876-4cc0-81cf-efca17a3c472
Northampton County,Pennsylvania,PA,County,315927,https://www.northamptoncounty.org,,,,,,,,,,,,,,2025-11-08 10:59:17.219873+00,2025-11-08 10:59:17.219876+00,44ab4b41-7622-4ef3-8af6-297e5cfa17f8
Yamhill County,Oregon,OR,County,108122,https://yamhillcounty.gov,,,,,,,,,,,,,,2025-11-08 10:58:36.698747+00,2025-11-08 10:58:36.69875+00,44b438ab-ac0a-4356-84a3-8b1da7a49eb5
City of Winston-Salem,North Carolina,NC,City,250887,https://www.cityofws.org,,,,,,,,,,,,,Forsyth County,2025-11-08 10:57:38.309698+00,2025-11-08 10:57:38.309701+00,44c31c8d-2e44-476b-ba07-bf08b9434e1f
City of Vallejo,California,CA,City,124637,https://www.vallejo.gov,,,,,,,,,,,,,Solano County,2025-11-08 10:49:05.024823+00,2025-11-08 10:49:05.024826+00,45008001-0212-4c81-b53b-0a21b1075709
City of Cambridge,Massachusetts,MA,City,117794,https://www.cambridgema.gov,,,,,,,,,,,,,Middlesex County,2025-11-08 10:53:46.247149+00,2025-11-08 10:53:46.247152+00,451555a2-6650-4aaf-aefe-8053c09ad3cb
City of Philadelphia,Pennsylvania,PA,City,1582432,https://www.phila.gov,,,,,,,,,,,,,Philadelphia County,2025-11-08 10:59:17.224456+00,2025-11-08 10:59:17.224458+00,458b7032-7b38-483d-a2a6-d5a5ae27774c
El Paso County,Colorado,CO,County,736008,https://www.elpasoco.com,,,,,,,,,,,,,,2025-11-08 10:49:05.039228+00,2025-11-08 10:49:05.03923+00,46417c1c-87ea-4846-973c-3b968d099fa2
City of Kansas City,Missouri,MO,City,508233,https://www.kcmo.gov,,,,,,,,,,,,,Jackson County,2025-11-08 10:55:17.069399+00,2025-11-08 10:55:17.069402+00,46586efe-29b7-4448-baf3-58da5e740c25
Greene County,Ohio,OH,County,168531,https://www.greenecountyohio.gov,,,,,,,,,,,,,,2025-11-08 10:58:14.22802+00,2025-11-08 10:58:14.228022+00,4659240a-9ca8-4068-9b79-69d24ab5d3d6
Westchester County,New York,NY,County,996888,https://www.westchestergov.com,,,,,,,,,,,,,,2025-11-08 10:57:06.785033+00,2025-11-08 10:57:06.785035+00,46776f16-8c90-4f27-afd8-0ba2d7fab936
Summit County,Ohio,OH,County,538087,https://co.summitoh.net,,,,,,,,,,,,,,2025-11-08 10:58:14.227597+00,2025-11-08 10:58:14.2276+00,473d6fee-640c-4371-9272-b6614243d2ec
